,id,name,age,number,position,photo,batch_timestamp
2159,284487,Wanya Marçal,21.0,40.0,Midfielder,https://media.api-sports.io/football/players/284487.png,2024-07-17 18:33:41.534309
2160,22233,B. Soumaré,24.0,,Midfielder,https://media.api-sports.io/football/players/22233.png,2024-07-17 18:33:41.534309
2161,283290,K. McAteer,22.0,35.0,Midfielder,https://media.api-sports.io/football/players/283290.png,2024-07-17 18:33:41.534309
2162,182,H. Winks,27.0,8.0,Midfielder,https://media.api-sports.io/football/players/182.png,2024-07-17 18:33:41.534309
2163,18788,J. Vardy,36.0,9.0,Attacker,https://media.api-sports.io/football/players/18788.png,2024-07-17 18:33:41.534309
2164,237252,Pere García,21.0,31.0,Goalkeeper,https://media.api-sports.io/football/players/237252.png,2024-07-17 18:47:31.198345
2165,61142,D. Greif,26.0,13.0,Goalkeeper,https://media.api-sports.io/football/players/61142.png,2024-07-17 18:47:31.198345
2166,2814,P. Rajković,28.0,1.0,Goalkeeper,https://media.api-sports.io/football/players/2814.png,2024-07-17 18:47:31.198345
2167,179139,Leo Román,23.0,,Goalkeeper,https://media.api-sports.io/football/players/179139.png,2024-07-17 18:47:31.198345
2168,181582,Copete,24.0,6.0,Defender,https://media.api-sports.io/football/players/181582.png,2024-07-17 18:47:31.198345
2169,1098,P. Daka,25.0,20.0,Attacker,https://media.api-sports.io/football/players/1098.png,2024-07-17 18:33:41.534309
2170,1687,Jaume Costa,35.0,11.0,Defender,https://media.api-sports.io/football/players/1687.png,2024-07-17 18:47:31.198345
2171,185715,Josep Gayá,23.0,,Defender,https://media.api-sports.io/football/players/185715.png,2024-07-17 18:47:31.198345
2172,2610,G. González,29.0,20.0,Defender,https://media.api-sports.io/football/players/2610.png,2024-07-17 18:47:31.198345
2173,920,Toni Lato,26.0,3.0,Defender,https://media.api-sports.io/football/players/920.png,2024-07-17 18:47:31.198345
2174,296029,P. Yeboah,21.0,99.0,Attacker,https://media-3.api-sports.io/football/players/296029.png,2023-04-22 18:30:12.641278
2175,215874,T. Cannon,21.0,28.0,Attacker,https://media.api-sports.io/football/players/215874.png,2024-07-17 18:33:41.534309
2176,19004,B. De Cordova-Reid,30.0,,Attacker,https://media.api-sports.io/football/players/19004.png,2024-07-17 18:33:41.534309
2177,440735,YuzÃºn Ley,20.0,31.0,Defender,https://media.api-sports.io/football/players/440735.png,2024-07-17 18:47:31.198345
2178,335697,David López,20.0,27.0,Defender,https://media.api-sports.io/football/players/335697.png,2024-07-17 18:47:31.198345
2179,879,S. Mavididi,25.0,10.0,Attacker,https://media.api-sports.io/football/players/879.png,2024-07-17 18:33:41.534309
2180,31354,G. Vicario,27.0,13.0,Goalkeeper,https://media.api-sports.io/football/players/31354.png,2024-07-17 18:33:43.333133
2181,18932,F. Forster,35.0,20.0,Goalkeeper,https://media.api-sports.io/football/players/18932.png,2024-07-17 18:33:43.333133
2182,2107,Z. Vanheusden,24.0,4.0,Defender,https://media.api-sports.io/football/players/2107.png,2024-06-29 18:41:45.659855
2183,17715,S. Alzate,25.0,17.0,Midfielder,https://media.api-sports.io/football/players/17715.png,2024-06-29 18:41:45.659855
2184,348533,S. Fini,17.0,11.0,Midfielder,https://media.api-sports.io/football/players/348533.png,2024-06-29 18:41:45.659855
2185,156428,B. Austin,24.0,40.0,Goalkeeper,https://media.api-sports.io/football/players/156428.png,2024-07-17 18:33:43.333133
2186,161,A. Whiteman,25.0,41.0,Goalkeeper,https://media.api-sports.io/football/players/161.png,2024-07-17 18:33:43.333133
2187,739,Reguilón,27.0,,Defender,https://media.api-sports.io/football/players/739.png,2024-07-17 18:33:43.333133
2188,26302,Pablo Maffeo,26.0,15.0,Defender,https://media.api-sports.io/football/players/26302.png,2024-07-17 18:47:31.198345
2189,208055,Miguel Martín,22.0,29.0,Defender,https://media.api-sports.io/football/players/208055.png,2024-07-17 18:47:31.198345
2190,162498,R. Drăgușin,21.0,6.0,Defender,https://media.api-sports.io/football/players/162498.png,2024-07-17 18:33:43.333133
2191,108519,Mateu Morey,23.0,,Defender,https://media.api-sports.io/football/players/108519.png,2024-07-17 18:47:31.198345
